PNU,주용도코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률(%),건폐율(%)
1171010100101960017,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960012,업무시설,1712.9,851.95,4717.17,191.35,49.74
1171010100101960023,업무시설,617.3,308.51,2012.77,243.05,49.98
1171010100101970002,공동주택,1082.3,460.47,1522.02,140.63,42.55
1171010100101980008,교육연구시설,1371.7,624.8,6026.0,293.6,45.55
1171010100102050023,제2종근린생활시설,484.3,236.79,970.53,151.51,48.89
1171010100102080009,공동주택,1960.9,1116.4301,15521.5286,599.55,56.93
1171010100102080017,공동주택,1960.9,1116.4301,15521.5286,599.55,56.93
1171010100102080011,제2종근린생활시설,762.9,380.96,1349.34,110.77,49.94
1171010100102080014,,,,,,
1171010100102080014,제2종근린생활시설,542.5,49.5,49.5,9.12,9.12
1171010100102080014,제1종근린생활시설,542.5,275.67,909.55,152.46,50.81
1171010100102090013,제1종근린생활시설,0.0,0.0,1927.11,0.0,0.0
1171010100102090012,제1종근린생활시설,0.0,0.0,1927.11,0.0,0.0
1171010100102090014,제1종근린생활시설,0.0,0.0,1927.11,0.0,0.0
1171010100102100005,공동주택,210.4,126.0,492.74,234.19,59.89
1171010100102100022,공동주택,195.2,116.16,388.56,199.06,59.51
1171010100102100056,제1종근린생활시설,0.0,0.0,542.79,0.0,0.0
1171010100102100035,공동주택,197.3,118.3,394.48,199.94,59.96
1171010100102100055,제1종근린생활시설,319.6,158.06,801.36,193.21,49.45
1171010100102110016,공동주택,281.6,168.0,544.4,193.32,59.66
1171010100102110017,공동주택,281.6,168.0,544.4,193.32,59.66
1171010100102110023,공동주택,297.0,177.6,590.01,198.66,59.8
1171010100102110024,공동주택,297.0,177.6,590.01,198.66,59.8
1171010100102110035,종교시설,0.0,0.0,2896.19,0.0,0.0
1171010100102110037,종교시설,0.0,0.0,2896.19,0.0,0.0
1171010100102110040,공동주택,191.4,114.66,394.06,189.72,59.91
1171010100102120010,공동주택,291.5,173.72,582.41,199.8,59.6
1171010100102120011,공동주택,291.5,173.72,582.41,199.8,59.6
1171010100102120016,공동주택,216.9,129.84,431.39,198.89,59.86
1171010100102120018,공동주택,203.5,121.62,405.95,199.48,59.76
1171010100102120035,공동주택,295.0,175.43,589.62,199.87,59.47
1171010100102120036,공동주택,295.0,175.43,589.62,199.87,59.47
1171010100102120039,공동주택,291.6,174.07,582.76,199.85,59.69
1171010100102120040,공동주택,291.6,174.07,582.76,199.85,59.69
1171010100102120042,공동주택,295.8,176.46,557.0,188.3,59.66
1171010100102120043,공동주택,295.8,176.46,557.0,188.3,59.66
1171010100102120045,공동주택,220.1,131.88,424.4,192.82,59.92
1171010100102120050,공동주택,210.0,124.86,388.7,185.1,59.46
1171010100102130005,제2종근린생활시설,210.4,116.55,548.34,260.62,55.39
1171010100102130021,공동주택,302.4,180.47,591.68,195.66,59.68
1171010100102130022,공동주택,302.4,180.47,591.68,195.66,59.68
1171010100102130031,공동주택,182.0,109.03,358.73,197.1,59.91
1171010100102130035,공동주택,191.7,114.86,383.28,199.94,59.92
1171010100102130037,공동주택,292.9,174.69,584.48,199.55,59.64
1171010100102130038,공동주택,292.9,174.69,584.48,199.55,59.64
1171010100102130040,공동주택,200.2,120.0,391.62,195.61,59.94
1171010100102130044,공동주택,224.0,132.76,447.24,199.66,59.27
1171010100102130048,공동주택,203.6,121.54,405.67,199.24852,59.7
1171010100102140011,제2종근린생활시설,385.5,229.32,1341.95,286.93,59.49
1171010100102140020,공동주택,364.6,218.43,659.84,180.98,59.91
1171010100102180016,공동주택,391.8,196.2,659.98,168.45,50.08
1171010100102220001,업무시설,1128.9,489.55,5658.75,387.51,43.36
1171010100102220015,업무시설,1128.9,489.55,5658.75,387.51,43.36
1171010100102220016,업무시설,1128.9,489.55,5658.75,387.51,43.36
1171010100102230020,노유자시설,510.4,303.81,1410.35,198.03,59.52
1171010100102240010,제2종근린생활시설,1036.3,285.16,807.19,60.53,27.52
1171010100102260014,제1종근린생활시설,769.3,0.0,1322.0,0.0,0.0
1171010100102270016,공동주택,348.3,208.28,659.87,189.45,59.8
1171010100102300004,제1종근린생활시설,6613.3,43.36,43.36,0.66,0.66
1171010100102340016,제2종근린생활시설,671.58,333.03,2001.96,0.0,49.59
1171010100102370006,제1종근린생활시설,492.8,294.17,1335.51,199.9736,59.6936
1171010100102420012,교육연구시설,714.3,356.69,2881.73,249.96,49.94
1171010100102420010,제1종근린생활시설,833.0,428.5,2482.12,240.83,51.44
1171010100102490004,공동주택,348.0,203.51,1533.24,356.64,58.48
1171010100102500001,업무시설,460.8,274.72,1972.99,359.93,59.62
1171010100102500004,의료시설,609.2,316.13,3107.4,360.0,51.89
1171010100102510012,공동주택,395.7,229.29,1761.92,358.57,57.95
1171010100102520009,제2종근린생활시설,547.8,271.12,1508.0,195.92,49.49
1171010100102520000,교육연구시설,1316.7,611.43,2853.38,172.09,46.44
1171010100102940012,업무시설,688.2,341.88,2771.51,296.57,49.67
1171010100103000014,공동주택,373.1,213.81,659.81,176.85,57.31
1171010100103020006,종교시설,1983.6,1154.12,4177.68,124.95,58.183101
1171010100103040004,공동주택,330.0,177.28,651.31,197.36,53.72
1171010100103040038,,,,,,
1171010100103040039,,,,,,
1171010100103040038,공동주택,0.0,158.2,465.84,0.0,0.0
1171010100103040039,공동주택,0.0,158.2,465.84,0.0,0.0
1171010100103040038,공동주택,0.0,158.2,602.42,0.0,0.0
1171010100103040039,공동주택,0.0,158.2,602.42,0.0,0.0
1171010100103040041,공동주택,350.3,205.69,659.72,188.33,58.7182
1171010100103040019,제2종근린생활시설,531.8,263.25,1146.6,149.29,49.49
1171010100103050012,위험물저장및처리시설,1271.1,394.38,885.5,62.73,31.02
1171010100103070003,공동주택,1111.2,359.52,3702.51,250.91,29.65
1171010100103070007,종교시설,1227.4,696.88,5423.9,298.88,56.78
1171010100103070005,종교시설,1227.4,696.88,5423.9,298.88,56.78
1171010100103070008,종교시설,1227.4,696.88,5423.9,298.88,56.78
1171010100103070009,종교시설,1227.4,696.88,5423.9,298.88,56.78
1171010100103070010,종교시설,1227.4,696.88,5423.9,298.88,56.78
1171010100103140008,업무시설,666.2,0.0,1486.86,0.0,0.0
1171010100103210015,제2종근린생활시설,499.1,247.5,919.8,139.39,49.59
1171010100103270017,공동주택,364.2,214.96,658.58,180.83,59.02
1171010100103290019,공동주택,424.8,249.54,796.66,187.54,58.74
1171010100103360018,제2종근린생활시설,0.0,0.0,1049.98,0.0,0.0
1171010100103390012,공동주택,370.2,221.0,659.56,178.16,59.7
1171010100103400018,공동주택,394.8,196.5,982.88,248.96,49.77
1171010100103400013,업무시설,821.03,409.92,1500.96,182.81,49.93
1171010100103400026,업무시설,821.03,409.92,1500.96,182.81,49.93
1171010100103400005,공동주택,433.0,210.1,992.41,229.19,48.52
1171010100103410027,공동주택,193.2,114.96,460.06,238.13,59.5
1171010100111750000,제1종근린생활시설,0.0,0.0,921.09,0.0,0.0
1171010200100100000,제1종근린생활시설,1137.5,370.82,1384.52,95.2,32.5
1171010100100310000,판매시설,0.0,0.0,4285.52,0.0,0.0
1171010100100320000,판매시설,0.0,0.0,4285.52,0.0,0.0
1171010200100030000,판매시설,0.0,0.0,4285.52,0.0,0.0
1171010200100110012,공동주택,8481.7,2904.99,76448.64,589.77,34.25
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,10793.54,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,7369.22,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,495.58,7410.61,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,600.2,10820.67,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,537.73,8478.22,0.0,0.0
1171010200100200006,,,,,,
1171010200100170004,,,,,,
1171010200100200000,,,,,,
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,13092.32,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,11788.13,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,6318.74,0.0,0.0
1171010200100200000,공동주택,0.0,300.1,5961.31,0.0,0.0
1171010200100200000,공동주택,0.0,600.2,10820.67,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,7369.22,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
